reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
68b07b23-0be4-4063-9de9-b2c0dcc32a60,Tian Marbun,https://play-lh.googleusercontent.com/a/ACg8ocJFNGrLT6N_6OMTaI5AbSeRQNFp5AglPhfGDqr0zMrBIr2Uwg=mo,"game di kasih kalah"" Mulu, semoga dengan ini di kasih menang kalau malah kalah terus tengok aja. capek"" main tapi kalah niat GK sih bikin game gini pantes rating rendah pemain di kasih kalah terus, ntah kenapa dapat nomor 4 di play store padahal rating rendah, masih mending ff, jadi semoga di pahami agar para pemain GK pindah game lain",1,0,1.9.64.10601,2025-04-11 09:36:13,,,1.9.64.10601
306044e4-2e1d-4a83-b083-baab372f2634,Ridwan Iwan,https://play-lh.googleusercontent.com/a-/ALV-UjUS8GBfIIMZxq9alXtZYowaeCh0ZotaNXDQsucIGwLgiwI4CNUz,males main di kasih tim ngetrol semua mending hapus aja dari pada bikin setres,1,0,,2025-04-11 09:35:54,,,
ffeb1666-85b2-43c3-890d-292318a9677d,Muhammad Iqbal D.A.P,https://play-lh.googleusercontent.com/a-/ALV-UjWnABiyu7x1c33DHMiFsrK48uY5qxTD2mAyPAPoZaH43MLrUDQ,kenapa pas mencet link malah ke sini woi,1,0,1.9.65.10602,2025-04-11 09:35:49,,,1.9.65.10602
6c864a59-6453-40bb-8964-8d7f1621b54e,sanubakay Alkayyisi,https://play-lh.googleusercontent.com/a/ACg8ocIjMkSl5lZNKOBmT6Ww9au084UnVGBfWC8sVWEU_tog8lKgMQ=mo,game kek aj ngeleg Mulu tim nya as buta map semua lawan pada mantan mitic anj,1,0,1.9.64.10601,2025-04-11 09:35:15,,,1.9.64.10601
37369dd9-38e6-4a40-a72e-303705be3cc2,Algozali Al,https://play-lh.googleusercontent.com/a/ACg8ocKkcleGztja597uYyspjSLxkaYYMKcoeeShga6f400x0biwRA=mo,gw di kasih lostrek,1,0,1.9.64.10601,2025-04-11 09:35:03,,,1.9.64.10601
b3fda5e4-e644-49e9-bfaa-e412e2d87f6a,Lampung Balam,https://play-lh.googleusercontent.com/a-/ALV-UjVZniXN2HizC8QQKmNI8SgZh-gDXMFT67T5a3d5OvGEck1SuJ01,males ketemu dark sistem terus mending free fire aja,1,0,1.9.64.10601,2025-04-11 09:34:47,,,1.9.64.10601
f38cadb8-345c-42e5-8c1e-5ef2f693873e,Mas tol,https://play-lh.googleusercontent.com/a-/ALV-UjWAEPCAWnhf_4XbNfPQE6DUaCo5o6ObvK2vQgUsxNutjDOv1Co,Gamenya sangat baik dan kebih hebatnya lagi game ini bisa mengasah otak dan menenangkan pikiran di saat anda sedang stress game ini sangat saya rekomendasikan untuk kalian yang sedang bad mod terimakasih papa monton sehat selalu🗿,5,0,1.9.64.10601,2025-04-11 09:34:45,,,1.9.64.10601
3901df87-1bbd-4f06-bd05-6f89aa28cb96,Sonny Yulius,https://play-lh.googleusercontent.com/a-/ALV-UjWDysmsx5oJY_Yx67UsO-fCmoLdraXsjLy_3XvHj6axaGvxalo,𝓾𝓷𝓽𝓾𝓴 𝔂𝓰 𝓹𝓾𝓷𝔂𝓪 𝓴𝓻𝓮𝓭𝓲𝓽 𝓼𝓴𝓸𝓻 𝓼𝓪𝔂𝓪 𝓶𝓪𝓾 𝓶𝓵𝓼 𝓭𝓲𝓷𝓪𝓲𝓴𝓴𝓪𝓷 𝔂𝓪 𝓶𝓸𝓸𝓷𝓽𝓸𝓸𝓷,4,0,,2025-04-11 09:34:44,,,
5cba4821-30af-48af-b21c-42ac5360b252,arr wijaya,https://play-lh.googleusercontent.com/a-/ALV-UjVKff3Y6_Kwc9Gdo0HaW1hWIGPpIjhmG5cVbt8Ik8hY45ePu_vu,"AKUN SAYA PRIBADI DIHACK, MALAH PEMULIHAN GAGAL TERUS!",1,0,1.9.64.10601,2025-04-11 09:34:43,,,1.9.64.10601
d45141c6-2b6f-4ec3-9f65-bcc355f0afca,Ruok Modesad,https://play-lh.googleusercontent.com/a/ACg8ocITbm7Mw68QNchtSV57zakm4JggswQR7W5Qow7WBjqStTolpg=mo,"moonton kasih aku tim bagus moonton, masa aku dikasih tim jelek terus",5,0,,2025-04-11 09:33:53,,,
